price_range;Brand;Model;RAM;Storage;Color
médio;Samsung;Galaxy A23;4;128;White
alto;Samsung;Galaxy S20;12;128;Gray
médio;Xiaomi;11 Pro;6;128;Gray
médio;Xiaomi;Mi 10T;6;128;Gray
médio;Huawei;P30;6;128;Blue
médio;Samsung;Galaxy A71;6;128;Silver
alto;Samsung;Galaxy Note 10;6;256;Black
baixo;TCL;305i;2;32;Blue
muito alto;Apple;iPhone 12;4;256;Black
alto;Samsung;Galaxy S21;8;256;Green
alto;OPPO;X3;12;256;Silver
alto;Apple;iPhone 12;4;512;Black
alto;Samsung;Galaxy Z Flip4;8;128;Blue
médio;Realme;GT Master Edition;6;128;Gray
alto;Apple;iPhone SE;3;64;White
baixo;Vivo;Y21s;4;128;Blue
alto;Realme;GT2;12;256;Green
alto;Samsung;Galaxy S10;8;128;White
baixo;Ulefone;X11 Pro;4;64;Black
baixo;Xiaomi;Redmi 10A;2;32;Blue
baixo;Samsung;Galaxy A40;4;64;White
baixo;Samsung;Galaxy A40;4;64;Black
alto;Xiaomi;12;8;128;Black
baixo;Xiaomi;Redmi 10C;4;64;Blue
alto;Samsung;Galaxy S22;6;128;Purple
médio;Xiaomi;11 Lite;8;128;Blue
alto;Samsung;Galaxy S21;6;128;Blue
alto;Xiaomi;13;8;256;Blue
baixo;Honor;X8;6;128;Black
médio;Realme;9i;4;128;Black
baixo;Cubot;Pocket;4;64;Red
baixo;SPC;Smart 3;3;32;Turquoise
alto;Nothing;Phone (1);8;128;Black
alto;Xiaomi;Mi 9;6;128;Blue
alto;Apple;iPhone 12;4;512;Blue
baixo;Huawei;P30;4;128;Crystal
médio;OPPO;A74;6;128;Blue
médio;Samsung;Galaxy A51;4;128;White
médio;Samsung;Galaxy M13;4;128;Orange
médio;OPPO;A77;6;128;Blue
médio;OnePlus;Nord;8;128;Black
alto;Apple;iPhone SE;3;64;Black
médio;Xiaomi;Mi 11;8;128;Green
alto;Motorola;Edge 30;12;256;Blue
médio;OPPO;X3;8;128;Blue
baixo;Ulefone;Armor X6;2;16;Orange
muito alto;OPPO;X3;12;256;Blue
baixo;Cubot;King Kong Mini 3;6;128;Black
médio;Realme;X2;8;128;White
médio;Samsung;Galaxy A33;6;128;Orange
médio;Realme;GT;8;128;Blue
alto;Samsung;Galaxy S22;6;128;White
médio;Huawei;P30;4;128;Blue
médio;Samsung;Galaxy A52s;6;128;White
alto;Xiaomi;12;8;128;Green
baixo;Ulefone;Armor X9;4;64;Green
médio;Motorola;One Vision;4;128;Blue
baixo;Samsung;Galaxy A51;4;128;Blue
alto;Samsung;Galaxy S20;6;128;Green
baixo;Xiaomi;Redmi Note 5;6;64;Gold
médio;Apple;iPhone XR;3;128;Blue
baixo;Cubot;Pocket;4;64;Black
médio;OPPO;A76;4;128;Blue
alto;Samsung;Galaxy A52;6;128;Purple
baixo;Xiaomi;Redmi 10A;2;32;Silver
alto;CAT;S53;6;128;Black
